date,total_cases,sgtf_unknown,total_sgt,sgtf,non_sgtf,source,region,region_code
2020-01-30,1,1,NA,NA,NA,public,England,NA
2020-01-31,0,0,NA,NA,NA,public,England,NA
2020-02-01,0,0,NA,NA,NA,public,England,NA
2020-02-02,0,0,NA,NA,NA,public,England,NA
2020-02-03,0,0,NA,NA,NA,public,England,NA
2020-02-04,0,0,NA,NA,NA,public,England,NA
2020-02-05,1,1,NA,NA,NA,public,England,NA
2020-02-06,0,0,NA,NA,NA,public,England,NA
2020-02-07,0,0,NA,NA,NA,public,England,NA
2020-02-08,4,4,NA,NA,NA,public,England,NA
2020-02-09,1,1,NA,NA,NA,public,England,NA
2020-02-10,0,0,NA,NA,NA,public,England,NA
2020-02-11,1,1,NA,NA,NA,public,England,NA
2020-02-12,0,0,NA,NA,NA,public,England,NA
2020-02-13,0,0,NA,NA,NA,public,England,NA
2020-02-14,0,0,NA,NA,NA,public,England,NA
2020-02-15,0,0,NA,NA,NA,public,England,NA
2020-02-16,0,0,NA,NA,NA,public,England,NA
2020-02-17,0,0,NA,NA,NA,public,England,NA
2020-02-18,0,0,NA,NA,NA,public,England,NA
2020-02-19,0,0,NA,NA,NA,public,England,NA
2020-02-20,0,0,NA,NA,NA,public,England,NA
2020-02-21,1,1,NA,NA,NA,public,England,NA
2020-02-22,0,0,NA,NA,NA,public,England,NA
2020-02-23,1,1,NA,NA,NA,public,England,NA
2020-02-24,2,2,NA,NA,NA,public,England,NA
2020-02-25,5,5,NA,NA,NA,public,England,NA
2020-02-26,4,4,NA,NA,NA,public,England,NA
2020-02-27,7,7,NA,NA,NA,public,England,NA
2020-02-28,11,11,NA,NA,NA,public,England,NA
2020-02-29,4,4,NA,NA,NA,public,England,NA
2020-03-01,20,20,NA,NA,NA,public,England,NA
2020-03-02,37,37,NA,NA,NA,public,England,NA
2020-03-03,53,53,NA,NA,NA,public,England,NA
2020-03-04,48,48,NA,NA,NA,public,England,NA
